station_pincode,station_zone,city,state
494093,CENTRAL,Mumbai,Maharashtra
494095,EAST,Delhi,Manipur
494097,WEST,Bangalore,Meghalaya
494099,SOUTH,Hyderabad,Mizoram
494101,NORTH,Ahmedabad,Nagaland
494103,CENTRAL,Chennai,Odisha
494105,EAST,Kolkata,Punjab
494107,WEST,Surat,Rajasthan
494109,SOUTH,Pune,Sikkim
494111,NORTH,Jaipur,Tamil Nadu
494113,CENTRAL,Lucknow,Telangana
494115,EAST,Kanpur,Tripura
494117,WEST,Nagpur,Uttar Pradesh
494119,SOUTH,Indore,Uttarakhand
494121,NORTH,Thane,West Bengal
494123,CENTRAL,Bhopal,Andaman and Nicobar Islands
494125,EAST,Visakhapatnam,Chandigarh
494127,WEST,Vadodara,Dadra and Nagar Haveli and Daman and Diu
494129,SOUTH,Firozabad,Lakshadweep
494131,NORTH,Ludhiana,Delhi
494133,CENTRAL,Rajkot,Puducherry
494135,EAST,Agra,Ladakh
494137,WEST,Siliguri,Jammu and Kashmir
494139,SOUTH,Nashik,Maharashtra
494141,NORTH,Faridabad,Delhi
494143,CENTRAL,Patna,Karnataka
494145,EAST,Meerut,Andhra Pradesh
494147,WEST,Kalyan-Dombivli,Arunachal Pradesh
494149,SOUTH,Vasai-Virar,Assam
494151,NORTH,Varanasi,Bihar
494153,CENTRAL,Srinagar,Chhattisgarh
494155,EAST,Dhanbad,Goa
494157,WEST,Jodhpur,Gujarat
494159,SOUTH,Amritsar,Haryana
494161,NORTH,Raipur,Himachal Pradesh
494163,CENTRAL,Allahabad,Jharkhand
494165,EAST,Coimbatore,Karnataka
494167,WEST,Jabalpur,Kerala
494169,SOUTH,Gwalior,Madhya Pradesh
494171,NORTH,Vijayawada,Maharashtra
494173,CENTRAL,Madurai,Manipur
494175,EAST,Guwahati,Meghalaya
494177,WEST,Chandigarh,Mizoram
494179,SOUTH,Hubli-Dharwad,Nagaland
494181,NORTH,Amroha,Odisha
494183,CENTRAL,Moradabad,Punjab
494185,EAST,Gurgaon,Rajasthan
494187,WEST,Aligarh,Sikkim
494189,SOUTH,Solapur,Tamil Nadu
494191,NORTH,Ranchi,Telangana
494193,CENTRAL,Jalandhar,Tripura
494195,EAST,Tiruchirappalli,Uttar Pradesh
494197,WEST,Bhubaneswar,Uttarakhand
494199,SOUTH,Salem,West Bengal
494201,NORTH,Mysore,Andaman and Nicobar Islands
494203,CENTRAL,Thiruvananthapuram,Chandigarh
494205,EAST,Tiruppur,Dadra and Nagar Haveli and Daman and Diu
494207,WEST,Gwalior,Lakshadweep
494209,SOUTH,Chandrapur,Delhi
494211,NORTH,Mumbai,Puducherry
494213,CENTRAL,Delhi,Ladakh
494215,EAST,Bangalore,Jammu and Kashmir
494217,WEST,Hyderabad,Maharashtra
494219,SOUTH,Ahmedabad,Delhi
494221,NORTH,Chennai,Karnataka
494223,CENTRAL,Kolkata,Andhra Pradesh
494225,EAST,Surat,Arunachal Pradesh
494227,WEST,Pune,Assam
494229,SOUTH,Jaipur,Bihar
494231,NORTH,Lucknow,Chhattisgarh
494233,CENTRAL,Kanpur,Goa
494235,EAST,Nagpur,Gujarat
494237,WEST,Indore,Haryana
494239,SOUTH,Thane,Himachal Pradesh
494241,NORTH,Bhopal,Jharkhand
494243,CENTRAL,Visakhapatnam,Karnataka
494245,EAST,Vadodara,Kerala
494247,WEST,Firozabad,Madhya Pradesh
494249,SOUTH,Ludhiana,Maharashtra
494251,NORTH,Rajkot,Manipur
494253,CENTRAL,Agra,Meghalaya
494255,EAST,Siliguri,Mizoram
494257,WEST,Nashik,Nagaland
494259,SOUTH,Faridabad,Odisha
494261,NORTH,Patna,Punjab
494263,CENTRAL,Meerut,Rajasthan
494265,EAST,Kalyan-Dombivli,Sikkim
494267,WEST,Vasai-Virar,Tamil Nadu
494269,SOUTH,Varanasi,Telangana
494271,NORTH,Srinagar,Tripura
494273,CENTRAL,Dhanbad,Uttar Pradesh
494275,EAST,Jodhpur,Uttarakhand
494277,WEST,Amritsar,West Bengal
494279,SOUTH,Raipur,Andaman and Nicobar Islands
494281,NORTH,Allahabad,Chandigarh
494283,CENTRAL,Coimbatore,Dadra and Nagar Haveli and Daman and Diu
494285,EAST,Jabalpur,Lakshadweep
494287,WEST,Gwalior,Delhi
494289,SOUTH,Vijayawada,Puducherry
494291,NORTH,Madurai,Ladakh
494293,CENTRAL,Guwahati,Jammu and Kashmir
494295,EAST,Chandigarh,Maharashtra
494297,WEST,Hubli-Dharwad,Delhi
494299,SOUTH,Amroha,Karnataka
494301,NORTH,Moradabad,Andhra Pradesh
494303,CENTRAL,Gurgaon,Arunachal Pradesh
494305,EAST,Aligarh,Assam
494307,WEST,Solapur,Bihar
494309,SOUTH,Ranchi,Chhattisgarh
494311,NORTH,Jalandhar,Goa
494313,CENTRAL,Tiruchirappalli,Gujarat
494315,EAST,Bhubaneswar,Haryana
494317,WEST,Salem,Himachal Pradesh
494319,SOUTH,Mysore,Jharkhand
494321,NORTH,Thiruvananthapuram,Karnataka
494323,CENTRAL,Tiruppur,Kerala
494325,EAST,Gwalior,Madhya Pradesh
494327,WEST,Chandrapur,Maharashtra
494329,SOUTH,Mumbai,Manipur
494331,NORTH,Delhi,Meghalaya
494333,CENTRAL,Bangalore,Mizoram
494335,EAST,Hyderabad,Nagaland
494337,WEST,Ahmedabad,Odisha
494339,SOUTH,Chennai,Punjab
494341,NORTH,Kolkata,Rajasthan
494343,CENTRAL,Surat,Sikkim
494345,EAST,Pune,Tamil Nadu
494347,WEST,Jaipur,Telangana
494349,SOUTH,Lucknow,Tripura
494351,NORTH,Kanpur,Uttar Pradesh
494353,CENTRAL,Nagpur,Uttarakhand
494355,EAST,Indore,West Bengal
494357,WEST,Thane,Andaman and Nicobar Islands
494359,SOUTH,Bhopal,Chandigarh
494361,NORTH,Visakhapatnam,Dadra and Nagar Haveli and Daman and Diu
494363,CENTRAL,Vadodara,Lakshadweep
494365,EAST,Firozabad,Delhi
494367,WEST,Ludhiana,Puducherry
494369,SOUTH,Rajkot,Ladakh
494371,NORTH,Agra,Jammu and Kashmir
494373,CENTRAL,Siliguri,Maharashtra
494375,EAST,Nashik,Delhi
494377,WEST,Faridabad,Karnataka
494379,SOUTH,Patna,Andhra Pradesh
494381,NORTH,Meerut,Arunachal Pradesh
494383,CENTRAL,Kalyan-Dombivli,Assam
494385,EAST,Vasai-Virar,Bihar
494387,WEST,Varanasi,Chhattisgarh
494389,SOUTH,Srinagar,Goa
494391,NORTH,Dhanbad,Gujarat
494393,CENTRAL,Jodhpur,Haryana
494395,EAST,Amritsar,Himachal Pradesh
494397,WEST,Raipur,Jharkhand
494399,SOUTH,Allahabad,Karnataka
494401,NORTH,Coimbatore,Kerala
494403,CENTRAL,Jabalpur,Madhya Pradesh
494405,EAST,Gwalior,Maharashtra
494407,WEST,Vijayawada,Manipur
494409,SOUTH,Madurai,Meghalaya
494411,NORTH,Guwahati,Mizoram
494413,CENTRAL,Chandigarh,Nagaland
494415,EAST,Hubli-Dharwad,Odisha
494417,WEST,Amroha,Punjab
494419,SOUTH,Moradabad,Rajasthan
494421,NORTH,Gurgaon,Sikkim
494423,CENTRAL,Aligarh,Tamil Nadu
494425,EAST,Solapur,Telangana
494427,WEST,Ranchi,Tripura
494429,SOUTH,Jalandhar,Uttar Pradesh
494431,NORTH,Tiruchirappalli,Uttarakhand
494433,CENTRAL,Bhubaneswar,West Bengal
494435,EAST,Salem,Andaman and Nicobar Islands
494437,WEST,Mysore,Chandigarh
494439,SOUTH,Thiruvananthapuram,Dadra and Nagar Haveli and Daman and Diu
494441,NORTH,Tiruppur,Lakshadweep
494443,CENTRAL,Gwalior,Delhi
494445,EAST,Chandrapur,Puducherry
494447,WEST,Mumbai,Ladakh
494449,SOUTH,Delhi,Jammu and Kashmir
494451,NORTH,Bangalore,Maharashtra
494453,CENTRAL,Hyderabad,Delhi
494455,EAST,Ahmedabad,Karnataka
494457,WEST,Chennai,Andhra Pradesh
494459,SOUTH,Kolkata,Arunachal Pradesh
494461,NORTH,Surat,Assam
494463,CENTRAL,Pune,Bihar
494465,EAST,Jaipur,Chhattisgarh
494467,WEST,Lucknow,Goa
494469,SOUTH,Kanpur,Gujarat
494471,NORTH,Nagpur,Haryana
494473,CENTRAL,Indore,Himachal Pradesh
494475,EAST,Thane,Jharkhand
494477,WEST,Bhopal,Karnataka
494479,SOUTH,Visakhapatnam,Kerala
494481,NORTH,Vadodara,Madhya Pradesh
494483,CENTRAL,Firozabad,Maharashtra
494485,EAST,Ludhiana,Manipur
494487,WEST,Rajkot,Meghalaya
494489,SOUTH,Agra,Mizoram
494491,NORTH,Siliguri,Nagaland
494493,CENTRAL,Nashik,Odisha
494495,EAST,Faridabad,Punjab
494497,WEST,Patna,Rajasthan
494499,SOUTH,Meerut,Sikkim
494501,NORTH,Kalyan-Dombivli,Tamil Nadu
494503,CENTRAL,Vasai-Virar,Telangana
494505,EAST,Varanasi,Tripura
494507,WEST,Srinagar,Uttar Pradesh
494509,SOUTH,Dhanbad,Uttarakhand
494511,NORTH,Jodhpur,West Bengal
494513,CENTRAL,Amritsar,Andaman and Nicobar Islands
494515,EAST,Raipur,Chandigarh
494517,WEST,Allahabad,Dadra and Nagar Haveli and Daman and Diu
494519,SOUTH,Coimbatore,Lakshadweep
494521,NORTH,Jabalpur,Delhi
494523,CENTRAL,Gwalior,Puducherry
494525,EAST,Vijayawada,Ladakh
494527,WEST,Madurai,Jammu and Kashmir
494529,SOUTH,Guwahati,Maharashtra
494531,NORTH,Chandigarh,Delhi
494533,CENTRAL,Hubli-Dharwad,Karnataka
494535,EAST,Amroha,Andhra Pradesh
494537,WEST,Moradabad,Arunachal Pradesh
494539,SOUTH,Gurgaon,Assam
494541,NORTH,Aligarh,Bihar
494543,CENTRAL,Solapur,Chhattisgarh
494545,EAST,Ranchi,Goa
494547,WEST,Jalandhar,Gujarat
494549,SOUTH,Tiruchirappalli,Haryana
494551,NORTH,Bhubaneswar,Himachal Pradesh
494553,CENTRAL,Salem,Jharkhand
494555,EAST,Mysore,Karnataka
494557,WEST,Thiruvananthapuram,Kerala
494559,SOUTH,Tiruppur,Madhya Pradesh
494561,NORTH,Gwalior,Maharashtra
494563,CENTRAL,Chandrapur,Manipur
494565,EAST,Mumbai,Meghalaya
494567,WEST,Delhi,Mizoram
494569,SOUTH,Bangalore,Nagaland
494571,NORTH,Hyderabad,Odisha
494573,CENTRAL,Ahmedabad,Punjab
494575,EAST,Chennai,Rajasthan
494577,WEST,Kolkata,Sikkim
494579,SOUTH,Surat,Tamil Nadu
494581,NORTH,Pune,Telangana
494583,CENTRAL,Jaipur,Tripura
494585,EAST,Lucknow,Uttar Pradesh
494587,WEST,Kanpur,Uttarakhand
494589,SOUTH,Nagpur,West Bengal
494591,NORTH,Indore,Andaman and Nicobar Islands
494593,CENTRAL,Thane,Chandigarh
494595,EAST,Bhopal,Dadra and Nagar Haveli and Daman and Diu
494597,WEST,Visakhapatnam,Lakshadweep
494599,SOUTH,Vadodara,Delhi
494601,NORTH,Firozabad,Puducherry
494603,CENTRAL,Ludhiana,Ladakh
494605,EAST,Rajkot,Jammu and Kashmir
494607,WEST,Agra,Maharashtra
494609,SOUTH,Siliguri,Delhi
494611,NORTH,Nashik,Karnataka
494613,CENTRAL,Faridabad,Andhra Pradesh
494615,EAST,Patna,Arunachal Pradesh
494617,WEST,Meerut,Assam
494619,SOUTH,Kalyan-Dombivli,Bihar
494621,NORTH,Vasai-Virar,Chhattisgarh
494623,CENTRAL,Varanasi,Goa
494625,EAST,Srinagar,Gujarat
494627,WEST,Dhanbad,Haryana
494629,SOUTH,Jodhpur,Himachal Pradesh
494631,NORTH,Amritsar,Jharkhand
494633,CENTRAL,Raipur,Karnataka
494635,EAST,Allahabad,Kerala
494637,WEST,Coimbatore,Madhya Pradesh
494639,SOUTH,Jabalpur,Maharashtra
494641,NORTH,Gwalior,Manipur
494643,CENTRAL,Vijayawada,Meghalaya
494645,EAST,Madurai,Mizoram
494647,WEST,Guwahati,Nagaland
494649,SOUTH,Chandigarh,Odisha
494651,NORTH,Hubli-Dharwad,Punjab
494653,CENTRAL,Amroha,Rajasthan
494655,EAST,Moradabad,Sikkim
494657,WEST,Gurgaon,Tamil Nadu
494659,SOUTH,Aligarh,Telangana
494661,NORTH,Solapur,Tripura
494663,CENTRAL,Ranchi,Uttar Pradesh
494665,EAST,Jalandhar,Uttarakhand
494667,WEST,Tiruchirappalli,West Bengal
494669,SOUTH,Bhubaneswar,Andaman and Nicobar Islands
494671,NORTH,Salem,Chandigarh
494673,CENTRAL,Mysore,Dadra and Nagar Haveli and Daman and Diu
494675,EAST,Thiruvananthapuram,Lakshadweep
494677,WEST,Tiruppur,Delhi
494679,SOUTH,Gwalior,Puducherry
494681,NORTH,Chandrapur,Ladakh
494683,CENTRAL,Mumbai,Jammu and Kashmir
494685,EAST,Delhi,Maharashtra
494687,WEST,Bangalore,Delhi
494689,SOUTH,Hyderabad,Karnataka
494691,NORTH,Ahmedabad,Andhra Pradesh
494693,CENTRAL,Chennai,Arunachal Pradesh
494695,EAST,Kolkata,Assam
494697,WEST,Surat,Bihar
494699,SOUTH,Pune,Chhattisgarh
494701,NORTH,Jaipur,Goa
494703,CENTRAL,Lucknow,Gujarat
494705,EAST,Kanpur,Haryana
494707,WEST,Nagpur,Himachal Pradesh
494709,SOUTH,Indore,Jharkhand
494711,NORTH,Thane,Karnataka
494713,CENTRAL,Bhopal,Kerala
494715,EAST,Visakhapatnam,Madhya Pradesh
494717,WEST,Vadodara,Maharashtra
494719,SOUTH,Firozabad,Manipur
494721,NORTH,Ludhiana,Meghalaya
494723,CENTRAL,Rajkot,Mizoram
494725,EAST,Agra,Nagaland
494727,WEST,Siliguri,Odisha
494729,SOUTH,Nashik,Punjab
494731,NORTH,Faridabad,Rajasthan
494733,CENTRAL,Patna,Sikkim
494735,EAST,Meerut,Tamil Nadu
494737,WEST,Kalyan-Dombivli,Telangana
494739,SOUTH,Vasai-Virar,Tripura
494741,NORTH,Varanasi,Uttar Pradesh
494743,CENTRAL,Srinagar,Uttarakhand
494745,EAST,Dhanbad,West Bengal
494747,WEST,Jodhpur,Andaman and Nicobar Islands
494749,SOUTH,Amritsar,Chandigarh
494751,NORTH,Raipur,Dadra and Nagar Haveli and Daman and Diu
494753,CENTRAL,Allahabad,Lakshadweep
494755,EAST,Coimbatore,Delhi
494757,WEST,Jabalpur,Puducherry
494759,SOUTH,Gwalior,Ladakh
494761,NORTH,Vijayawada,Jammu and Kashmir
494763,CENTRAL,Madurai,Maharashtra
494765,EAST,Guwahati,Delhi
494767,WEST,Chandigarh,Karnataka
494769,SOUTH,Hubli-Dharwad,Andhra Pradesh
494771,NORTH,Amroha,Arunachal Pradesh
494773,CENTRAL,Moradabad,Assam
494775,EAST,Gurgaon,Bihar
494777,WEST,Aligarh,Chhattisgarh
494779,SOUTH,Solapur,Goa
494781,NORTH,Ranchi,Gujarat
494783,CENTRAL,Jalandhar,Haryana
494785,EAST,Tiruchirappalli,Himachal Pradesh
494787,WEST,Bhubaneswar,Jharkhand
494789,SOUTH,Salem,Karnataka
494791,NORTH,Mysore,Kerala
494793,CENTRAL,Thiruvananthapuram,Madhya Pradesh
494795,EAST,Tiruppur,Maharashtra
494797,WEST,Gwalior,Manipur
494799,SOUTH,Chandrapur,Meghalaya
494801,NORTH,Mumbai,Mizoram
494803,CENTRAL,Delhi,Nagaland
494805,EAST,Bangalore,Odisha
494807,WEST,Hyderabad,Punjab
494809,SOUTH,Ahmedabad,Rajasthan
494811,NORTH,Chennai,Sikkim
494813,CENTRAL,Kolkata,Tamil Nadu
494815,EAST,Surat,Telangana
494817,WEST,Pune,Tripura
494819,SOUTH,Jaipur,Uttar Pradesh
494821,NORTH,Lucknow,Uttarakhand
494823,CENTRAL,Kanpur,West Bengal
494825,EAST,Nagpur,Andaman and Nicobar Islands
494827,WEST,Indore,Chandigarh
494829,SOUTH,Thane,Dadra and Nagar Haveli and Daman and Diu
494831,NORTH,Bhopal,Lakshadweep
494833,CENTRAL,Visakhapatnam,Delhi
494835,EAST,Vadodara,Puducherry
494837,WEST,Firozabad,Ladakh
494839,SOUTH,Ludhiana,Jammu and Kashmir
494841,NORTH,Rajkot,Maharashtra
494843,CENTRAL,Agra,Delhi
494845,EAST,Siliguri,Karnataka
494847,WEST,Nashik,Andhra Pradesh
494849,SOUTH,Faridabad,Arunachal Pradesh
494851,NORTH,Patna,Assam
494853,CENTRAL,Meerut,Bihar
494855,EAST,Kalyan-Dombivli,Chhattisgarh
494857,WEST,Vasai-Virar,Goa
494859,SOUTH,Varanasi,Gujarat
494861,NORTH,Srinagar,Haryana
494863,CENTRAL,Dhanbad,Himachal Pradesh
494865,EAST,Jodhpur,Jharkhand
494867,WEST,Amritsar,Karnataka
494869,SOUTH,Raipur,Kerala
494871,NORTH,Allahabad,Madhya Pradesh
494873,CENTRAL,Coimbatore,Maharashtra
494875,EAST,Jabalpur,Manipur
494877,WEST,Gwalior,Meghalaya
494879,SOUTH,Vijayawada,Mizoram
494881,NORTH,Madurai,Nagaland
494883,CENTRAL,Guwahati,Odisha
494885,EAST,Chandigarh,Punjab
494887,WEST,Hubli-Dharwad,Rajasthan
494889,SOUTH,Amroha,Sikkim
494891,NORTH,Moradabad,Tamil Nadu
494893,CENTRAL,Gurgaon,Telangana
494895,EAST,Aligarh,Tripura
494897,WEST,Solapur,Uttar Pradesh
494899,SOUTH,Ranchi,Uttarakhand
494901,NORTH,Jalandhar,West Bengal
494903,CENTRAL,Tiruchirappalli,Andaman and Nicobar Islands
494905,EAST,Bhubaneswar,Chandigarh
494907,WEST,Salem,Dadra and Nagar Haveli and Daman and Diu
494909,SOUTH,Mysore,Lakshadweep
494911,NORTH,Thiruvananthapuram,Delhi
494913,CENTRAL,Tiruppur,Puducherry
494915,EAST,Gwalior,Ladakh
494917,WEST,Chandrapur,Jammu and Kashmir
494919,SOUTH,Mumbai,Maharashtra
494921,NORTH,Delhi,Delhi
494923,CENTRAL,Bangalore,Karnataka
494925,EAST,Hyderabad,Andhra Pradesh
494927,WEST,Ahmedabad,Arunachal Pradesh
494929,SOUTH,Chennai,Assam
494931,NORTH,Kolkata,Bihar
494933,CENTRAL,Surat,Chhattisgarh
494935,EAST,Pune,Goa
494937,WEST,Jaipur,Gujarat
494939,SOUTH,Lucknow,Haryana
494941,NORTH,Kanpur,Himachal Pradesh
494943,CENTRAL,Nagpur,Jharkhand
494945,EAST,Indore,Karnataka
494947,WEST,Thane,Kerala
494949,SOUTH,Bhopal,Madhya Pradesh
494951,NORTH,Visakhapatnam,Maharashtra
494953,CENTRAL,Vadodara,Manipur
494955,EAST,Firozabad,Meghalaya
494957,WEST,Ludhiana,Mizoram
494959,SOUTH,Rajkot,Nagaland
494961,NORTH,Agra,Odisha
494963,CENTRAL,Siliguri,Punjab
494965,EAST,Nashik,Rajasthan
494967,WEST,Faridabad,Sikkim
494969,SOUTH,Patna,Tamil Nadu
494971,NORTH,Meerut,Telangana
494973,CENTRAL,Kalyan-Dombivli,Tripura
494975,EAST,Vasai-Virar,Uttar Pradesh
494977,WEST,Varanasi,Uttarakhand
494979,SOUTH,Srinagar,West Bengal
494981,NORTH,Dhanbad,Andaman and Nicobar Islands
494983,CENTRAL,Jodhpur,Chandigarh
494985,EAST,Amritsar,Dadra and Nagar Haveli and Daman and Diu
494987,WEST,Raipur,Lakshadweep
494989,SOUTH,Allahabad,Delhi
494991,NORTH,Coimbatore,Puducherry
494993,CENTRAL,Jabalpur,Ladakh
494995,EAST,Gwalior,Jammu and Kashmir
494997,WEST,Vijayawada,Maharashtra
494999,SOUTH,Madurai,Delhi
495001,NORTH,Guwahati,Karnataka
495003,CENTRAL,Chandigarh,Andhra Pradesh
495005,EAST,Hubli-Dharwad,Arunachal Pradesh
495007,WEST,Amroha,Assam
495009,SOUTH,Moradabad,Bihar
495011,NORTH,Gurgaon,Chhattisgarh
495013,CENTRAL,Aligarh,Goa
495015,EAST,Solapur,Gujarat
495017,WEST,Ranchi,Haryana
495019,SOUTH,Jalandhar,Himachal Pradesh
495021,NORTH,Tiruchirappalli,Jharkhand
495023,CENTRAL,Bhubaneswar,Karnataka
495025,EAST,Salem,Kerala
495027,WEST,Mysore,Madhya Pradesh
495029,SOUTH,Thiruvananthapuram,Maharashtra
495031,NORTH,Tiruppur,Manipur
495033,CENTRAL,Gwalior,Meghalaya
495035,EAST,Chandrapur,Mizoram
495037,WEST,Mumbai,Nagaland
495039,SOUTH,Delhi,Odisha
495041,NORTH,Bangalore,Punjab
495043,CENTRAL,Hyderabad,Rajasthan
495045,EAST,Ahmedabad,Sikkim
495047,WEST,Chennai,Tamil Nadu
495049,SOUTH,Kolkata,Telangana
495051,NORTH,Surat,Tripura
495053,CENTRAL,Pune,Uttar Pradesh
495055,EAST,Jaipur,Uttarakhand
495057,WEST,Lucknow,West Bengal
495059,SOUTH,Kanpur,Andaman and Nicobar Islands
495061,NORTH,Nagpur,Chandigarh
495063,CENTRAL,Indore,Dadra and Nagar Haveli and Daman and Diu
495065,EAST,Thane,Lakshadweep
495067,WEST,Bhopal,Delhi
495069,SOUTH,Visakhapatnam,Puducherry
495071,NORTH,Vadodara,Ladakh
495073,CENTRAL,Firozabad,Jammu and Kashmir
495075,EAST,Ludhiana,Maharashtra
495077,WEST,Rajkot,Delhi
495079,SOUTH,Agra,Karnataka
495081,NORTH,Siliguri,Andhra Pradesh
495083,CENTRAL,Nashik,Arunachal Pradesh
495085,EAST,Faridabad,Assam
495087,WEST,Patna,Bihar
495089,SOUTH,Meerut,Chhattisgarh
495091,NORTH,Kalyan-Dombivli,Goa
495093,CENTRAL,Vasai-Virar,Gujarat
495095,EAST,Varanasi,Haryana
495097,WEST,Srinagar,Himachal Pradesh
495099,SOUTH,Dhanbad,Jharkhand
495101,NORTH,Jodhpur,Karnataka
495103,CENTRAL,Amritsar,Kerala
495105,EAST,Raipur,Madhya Pradesh
495107,WEST,Allahabad,Maharashtra
495109,SOUTH,Coimbatore,Manipur
495111,NORTH,Jabalpur,Meghalaya
495113,CENTRAL,Gwalior,Mizoram
495115,EAST,Vijayawada,Nagaland
495117,WEST,Madurai,Odisha
495119,SOUTH,Guwahati,Punjab
495121,NORTH,Chandigarh,Rajasthan
495123,CENTRAL,Hubli-Dharwad,Sikkim
495125,EAST,Amroha,Tamil Nadu
495127,WEST,Moradabad,Telangana
495129,SOUTH,Gurgaon,Tripura
495131,NORTH,Aligarh,Uttar Pradesh
495133,CENTRAL,Solapur,Uttarakhand
495135,EAST,Ranchi,West Bengal
495137,WEST,Jalandhar,Andaman and Nicobar Islands
495139,SOUTH,Tiruchirappalli,Chandigarh
495141,NORTH,Bhubaneswar,Dadra and Nagar Haveli and Daman and Diu
495143,CENTRAL,Salem,Lakshadweep
495145,EAST,Mysore,Delhi
495147,WEST,Thiruvananthapuram,Puducherry
495149,SOUTH,Tiruppur,Ladakh
495151,NORTH,Gwalior,Jammu and Kashmir
495153,CENTRAL,Chandrapur,Maharashtra
495155,EAST,Mumbai,Delhi
495157,WEST,Delhi,Karnataka
495159,SOUTH,Bangalore,Andhra Pradesh
495161,NORTH,Hyderabad,Arunachal Pradesh
495163,CENTRAL,Ahmedabad,Assam
495165,EAST,Chennai,Bihar
495167,WEST,Kolkata,Chhattisgarh
495169,SOUTH,Surat,Goa
495171,NORTH,Pune,Gujarat
495173,CENTRAL,Jaipur,Haryana
495175,EAST,Lucknow,Himachal Pradesh
495177,WEST,Kanpur,Jharkhand
495179,SOUTH,Nagpur,Karnataka
495181,NORTH,Indore,Kerala
495183,CENTRAL,Thane,Madhya Pradesh
495185,EAST,Bhopal,Maharashtra
495187,WEST,Visakhapatnam,Manipur
495189,SOUTH,Vadodara,Meghalaya
495191,NORTH,Firozabad,Mizoram
495193,CENTRAL,Ludhiana,Nagaland
495195,EAST,Rajkot,Odisha
495197,WEST,Agra,Punjab
495199,SOUTH,Siliguri,Rajasthan
495201,NORTH,Nashik,Sikkim
495203,CENTRAL,Faridabad,Tamil Nadu
495205,EAST,Patna,Telangana
495207,WEST,Meerut,Tripura
495209,SOUTH,Kalyan-Dombivli,Uttar Pradesh
495211,NORTH,Vasai-Virar,Uttarakhand
495213,CENTRAL,Varanasi,West Bengal
495215,EAST,Srinagar,Andaman and Nicobar Islands
495217,WEST,Dhanbad,Chandigarh
495219,SOUTH,Jodhpur,Dadra and Nagar Haveli and Daman and Diu
495221,NORTH,Amritsar,Lakshadweep
495223,CENTRAL,Raipur,Delhi
495225,EAST,Allahabad,Puducherry
495227,WEST,Coimbatore,Ladakh
495229,SOUTH,Jabalpur,Jammu and Kashmir
495231,NORTH,Gwalior,Maharashtra
495233,CENTRAL,Vijayawada,Delhi
495235,EAST,Madurai,Karnataka
495237,WEST,Guwahati,Andhra Pradesh
495239,SOUTH,Chandigarh,Arunachal Pradesh
495241,NORTH,Hubli-Dharwad,Assam
495243,CENTRAL,Amroha,Bihar
495245,EAST,Moradabad,Chhattisgarh
495247,WEST,Gurgaon,Goa
495249,SOUTH,Aligarh,Gujarat
495251,NORTH,Solapur,Haryana
495253,CENTRAL,Ranchi,Himachal Pradesh
495255,EAST,Jalandhar,Jharkhand
495257,WEST,Tiruchirappalli,Karnataka
495259,SOUTH,Bhubaneswar,Kerala
495261,NORTH,Salem,Madhya Pradesh
495263,CENTRAL,Mysore,Maharashtra
495265,EAST,Thiruvananthapuram,Manipur
495267,WEST,Tiruppur,Meghalaya
495269,SOUTH,Gwalior,Mizoram
495271,NORTH,Chandrapur,Nagaland
495273,CENTRAL,Mumbai,Odisha
495275,EAST,Delhi,Punjab
495277,WEST,Bangalore,Rajasthan
495279,SOUTH,Hyderabad,Sikkim
495281,NORTH,Ahmedabad,Tamil Nadu
495283,CENTRAL,Chennai,Telangana
495285,EAST,Kolkata,Tripura
495287,WEST,Surat,Uttar Pradesh
495289,SOUTH,Pune,Uttarakhand
495291,NORTH,Jaipur,West Bengal
495293,CENTRAL,Lucknow,Andaman and Nicobar Islands
495295,EAST,Kanpur,Chandigarh
495297,WEST,Nagpur,Dadra and Nagar Haveli and Daman and Diu
495299,SOUTH,Indore,Lakshadweep
495301,NORTH,Thane,Delhi
495303,CENTRAL,Bhopal,Puducherry
495305,EAST,Visakhapatnam,Ladakh
495307,WEST,Vadodara,Jammu and Kashmir
495309,SOUTH,Firozabad,Maharashtra
495311,NORTH,Ludhiana,Delhi
495313,CENTRAL,Rajkot,Karnataka
495315,EAST,Agra,Andhra Pradesh
495317,WEST,Siliguri,Arunachal Pradesh
495319,SOUTH,Nashik,Assam
495321,NORTH,Faridabad,Bihar
495323,CENTRAL,Patna,Chhattisgarh
495325,EAST,Meerut,Goa
495327,WEST,Kalyan-Dombivli,Gujarat
495329,SOUTH,Vasai-Virar,Haryana
495331,NORTH,Varanasi,Himachal Pradesh
495333,CENTRAL,Srinagar,Jharkhand
495335,EAST,Dhanbad,Karnataka
495337,WEST,Jodhpur,Kerala
495339,SOUTH,Amritsar,Madhya Pradesh
495341,NORTH,Raipur,Maharashtra
495343,CENTRAL,Allahabad,Manipur
495345,EAST,Coimbatore,Meghalaya
495347,WEST,Jabalpur,Mizoram
495349,SOUTH,Gwalior,Nagaland
495351,NORTH,Vijayawada,Odisha
495353,CENTRAL,Madurai,Punjab
495355,EAST,Guwahati,Rajasthan
495357,WEST,Chandigarh,Sikkim
495359,SOUTH,Hubli-Dharwad,Tamil Nadu
495361,NORTH,Amroha,Telangana
495363,CENTRAL,Moradabad,Tripura
495365,EAST,Gurgaon,Uttar Pradesh
495367,WEST,Aligarh,Uttarakhand
495369,SOUTH,Solapur,West Bengal
495371,NORTH,Ranchi,Andaman and Nicobar Islands
