max_case_type,min_cases_type,no_of_cases,avg_solving_day
Property dispute,Fraud,8621,5
Fraud,riots,8623,7
riots,claims of negligence,8625,12
marriage affairs,dowry demands,8627,15
Divorce,robbery,8629,13
claims of negligence,unfair dismissal,8631,12
appeal against HR,discrimination,8633,5
Workplace harassment,appeal against HR,8635,12
Murder,Workplace harassment,8637,3
robbery,Murder,8639,6
dowry demands,theft,8641,15
robbery,cybercrime,8643,13
unfair dismissal,sedition,8645,8
theft,Property dispute,8647,7
cybercrime,marriage affairs,8649,8
sedition,Divorce,8651,12
Property dispute,Fraud,8653,10
Fraud,riots,8655,14
riots,claims of negligence,8657,3
marriage affairs,dowry demands,8659,13
Divorce,robbery,8661,8
claims of negligence,unfair dismissal,8663,12
appeal against HR,discrimination,8665,7
Workplace harassment,appeal against HR,8667,10
Murder,Workplace harassment,8669,14
robbery,Murder,8671,15
dowry demands,theft,8673,12
robbery,cybercrime,8675,10
unfair dismissal,sedition,8677,5
theft,Property dispute,8679,4
cybercrime,marriage affairs,8681,10
sedition,Divorce,8683,6
Property dispute,Fraud,8685,4
Fraud,riots,8687,11
riots,claims of negligence,8689,14
marriage affairs,dowry demands,8691,10
Divorce,robbery,8693,11
claims of negligence,unfair dismissal,8695,8
appeal against HR,discrimination,8697,9
Workplace harassment,appeal against HR,8699,15
Murder,Workplace harassment,8701,15
robbery,Murder,8703,3
dowry demands,theft,8705,15
robbery,cybercrime,8707,5
unfair dismissal,sedition,8709,13
theft,Property dispute,8711,14
cybercrime,marriage affairs,8713,14
sedition,Divorce,8715,12
Property dispute,Fraud,8717,11
Fraud,riots,8719,15
riots,claims of negligence,8721,8
marriage affairs,dowry demands,8723,7
Divorce,robbery,8725,12
claims of negligence,unfair dismissal,8727,15
appeal against HR,discrimination,8729,4
Workplace harassment,appeal against HR,8731,3
Murder,Workplace harassment,8733,4
robbery,Murder,8735,7
dowry demands,theft,8737,10
robbery,cybercrime,8739,14
unfair dismissal,sedition,8741,5
theft,Property dispute,8743,13
cybercrime,marriage affairs,8745,13
sedition,Divorce,8747,5
Property dispute,Fraud,8749,5
Fraud,riots,8751,5
riots,claims of negligence,8753,10
marriage affairs,dowry demands,8755,12
Divorce,robbery,8757,3
claims of negligence,unfair dismissal,8759,7
appeal against HR,discrimination,8761,14
Workplace harassment,appeal against HR,8763,3
Murder,Workplace harassment,8765,8
robbery,Murder,8767,6
dowry demands,theft,8769,15
robbery,cybercrime,8771,3
unfair dismissal,sedition,8773,9
theft,Property dispute,8775,14
cybercrime,marriage affairs,8777,9
sedition,Divorce,8779,8
Property dispute,Fraud,8781,11
Fraud,riots,8783,8
riots,claims of negligence,8785,6
marriage affairs,dowry demands,8787,15
Divorce,robbery,8789,12
claims of negligence,unfair dismissal,8791,4
appeal against HR,discrimination,8793,11
Workplace harassment,appeal against HR,8795,6
Murder,Workplace harassment,8797,8
robbery,Murder,8799,11
dowry demands,theft,8801,12
robbery,cybercrime,8803,4
unfair dismissal,sedition,8805,4
theft,Property dispute,8807,6
cybercrime,marriage affairs,8809,4
sedition,Divorce,8811,12
Property dispute,Fraud,8813,8
Fraud,riots,8815,3
riots,claims of negligence,8817,5
marriage affairs,dowry demands,8819,4
Divorce,robbery,8821,12
claims of negligence,unfair dismissal,8823,6
appeal against HR,discrimination,8825,7
Workplace harassment,appeal against HR,8827,8
Murder,Workplace harassment,8829,9
robbery,Murder,8831,5
dowry demands,theft,8833,13
robbery,cybercrime,8835,12
unfair dismissal,sedition,8837,11
theft,Property dispute,8839,13
cybercrime,marriage affairs,8841,7
sedition,Divorce,8843,13
Property dispute,Fraud,8845,4
Fraud,riots,8847,15
riots,claims of negligence,8849,7
marriage affairs,dowry demands,8851,3
Divorce,robbery,8853,5
claims of negligence,unfair dismissal,8855,3
appeal against HR,discrimination,8857,8
Workplace harassment,appeal against HR,8859,13
Murder,Workplace harassment,8861,5
robbery,Murder,8863,10
dowry demands,theft,8865,4
robbery,cybercrime,8867,11
unfair dismissal,sedition,8869,9
theft,Property dispute,8871,10
cybercrime,marriage affairs,8873,3
sedition,Divorce,8875,13
Property dispute,Fraud,8877,5
Fraud,riots,8879,9
riots,claims of negligence,8881,5
marriage affairs,dowry demands,8883,11
Divorce,robbery,8885,13
claims of negligence,unfair dismissal,8887,7
appeal against HR,discrimination,8889,14
Workplace harassment,appeal against HR,8891,9
Murder,Workplace harassment,8893,12
robbery,Murder,8895,13
dowry demands,theft,8897,13
robbery,cybercrime,8899,12
unfair dismissal,sedition,8901,15
theft,Property dispute,8903,8
cybercrime,marriage affairs,8905,14
sedition,Divorce,8907,10
Property dispute,Fraud,8909,10
Fraud,riots,8911,3
riots,claims of negligence,8913,14
marriage affairs,dowry demands,8915,15
Divorce,robbery,8917,3
claims of negligence,unfair dismissal,8919,9
appeal against HR,discrimination,8921,12
Workplace harassment,appeal against HR,8923,4
Murder,Workplace harassment,8925,8
robbery,Murder,8927,5
dowry demands,theft,8929,15
robbery,cybercrime,8931,15
unfair dismissal,sedition,8933,6
theft,Property dispute,8935,7
cybercrime,marriage affairs,8937,10
sedition,Divorce,8939,3
Property dispute,Fraud,8941,12
Fraud,riots,8943,6
riots,claims of negligence,8945,9
marriage affairs,dowry demands,8947,10
Divorce,robbery,8949,6
claims of negligence,unfair dismissal,8951,7
appeal against HR,discrimination,8953,10
Workplace harassment,appeal against HR,8955,6
Murder,Workplace harassment,8957,14
robbery,Murder,8959,13
dowry demands,theft,8961,4
robbery,cybercrime,8963,13
unfair dismissal,sedition,8965,11
theft,Property dispute,8967,11
cybercrime,marriage affairs,8969,3
sedition,Divorce,8971,12
Property dispute,Fraud,8973,6
Fraud,riots,8975,14
riots,claims of negligence,8977,3
marriage affairs,dowry demands,8979,8
Divorce,robbery,8981,13
claims of negligence,unfair dismissal,8983,13
appeal against HR,discrimination,8985,4
Workplace harassment,appeal against HR,8987,7
Murder,Workplace harassment,8989,9
robbery,Murder,8991,9
dowry demands,theft,8993,5
robbery,cybercrime,8995,10
unfair dismissal,sedition,8997,14
theft,Property dispute,8999,14
cybercrime,marriage affairs,9001,13
sedition,Divorce,9003,13
Property dispute,Fraud,9005,15
Fraud,riots,9007,14
riots,claims of negligence,9009,13
marriage affairs,dowry demands,9011,8
Divorce,robbery,9013,8
claims of negligence,unfair dismissal,9015,11
appeal against HR,discrimination,9017,9
Workplace harassment,appeal against HR,9019,14
Murder,Workplace harassment,9021,15
robbery,Murder,9023,15
dowry demands,theft,9025,6
robbery,cybercrime,9027,6
unfair dismissal,sedition,9029,14
theft,Property dispute,9031,9
cybercrime,marriage affairs,9033,7
sedition,Divorce,9035,4
Property dispute,Fraud,9037,4
Fraud,riots,9039,13
riots,claims of negligence,9041,4
marriage affairs,dowry demands,9043,4
Divorce,robbery,9045,9
claims of negligence,unfair dismissal,9047,4
appeal against HR,discrimination,9049,7
Workplace harassment,appeal against HR,9051,14
Murder,Workplace harassment,9053,14
robbery,Murder,9055,10
dowry demands,theft,9057,12
robbery,cybercrime,9059,5
unfair dismissal,sedition,9061,11
theft,Property dispute,9063,7
cybercrime,marriage affairs,9065,13
sedition,Divorce,9067,8
Property dispute,Fraud,9069,10
Fraud,riots,9071,15
riots,claims of negligence,9073,6
marriage affairs,dowry demands,9075,3
Divorce,robbery,9077,4
claims of negligence,unfair dismissal,9079,9
appeal against HR,discrimination,9081,4
Workplace harassment,appeal against HR,9083,14
Murder,Workplace harassment,9085,8
robbery,Murder,9087,3
dowry demands,theft,9089,10
robbery,cybercrime,9091,6
unfair dismissal,sedition,9093,13
theft,Property dispute,9095,5
cybercrime,marriage affairs,9097,8
sedition,Divorce,9099,7
Property dispute,Fraud,9101,8
Fraud,riots,9103,3
riots,claims of negligence,9105,11
marriage affairs,dowry demands,9107,10
Divorce,robbery,9109,6
claims of negligence,unfair dismissal,9111,13
appeal against HR,discrimination,9113,3
Workplace harassment,appeal against HR,9115,15
Murder,Workplace harassment,9117,13
robbery,Murder,9119,3
dowry demands,theft,9121,15
robbery,cybercrime,9123,8
unfair dismissal,sedition,9125,11
theft,Property dispute,9127,15
cybercrime,marriage affairs,9129,11
sedition,Divorce,9131,4
Property dispute,Fraud,9133,4
Fraud,riots,9135,9
riots,claims of negligence,9137,3
marriage affairs,dowry demands,9139,6
Divorce,robbery,9141,15
claims of negligence,unfair dismissal,9143,3
appeal against HR,discrimination,9145,13
Workplace harassment,appeal against HR,9147,14
Murder,Workplace harassment,9149,8
robbery,Murder,9151,15
dowry demands,theft,9153,3
robbery,cybercrime,9155,11
unfair dismissal,sedition,9157,15
theft,Property dispute,9159,9
cybercrime,marriage affairs,9161,12
sedition,Divorce,9163,4
Property dispute,Fraud,9165,12
Fraud,riots,9167,15
riots,claims of negligence,9169,8
marriage affairs,dowry demands,9171,10
Divorce,robbery,9173,10
claims of negligence,unfair dismissal,9175,9
appeal against HR,discrimination,9177,9
Workplace harassment,appeal against HR,9179,11
Murder,Workplace harassment,9181,4
robbery,Murder,9183,12
dowry demands,theft,9185,5
robbery,cybercrime,9187,5
unfair dismissal,sedition,9189,11
theft,Property dispute,9191,14
cybercrime,marriage affairs,9193,8
sedition,Divorce,9195,13
Property dispute,Fraud,9197,11
Fraud,riots,9199,9
riots,claims of negligence,9201,3
marriage affairs,dowry demands,9203,6
Divorce,robbery,9205,3
claims of negligence,unfair dismissal,9207,11
appeal against HR,discrimination,9209,12
Workplace harassment,appeal against HR,9211,6
Murder,Workplace harassment,9213,13
robbery,Murder,9215,7
dowry demands,theft,9217,10
robbery,cybercrime,9219,13
unfair dismissal,sedition,9221,8
theft,Property dispute,9223,6
cybercrime,marriage affairs,9225,13
sedition,Divorce,9227,6
Property dispute,Fraud,9229,14
Fraud,riots,9231,13
riots,claims of negligence,9233,13
marriage affairs,dowry demands,9235,10
Divorce,robbery,9237,13
claims of negligence,unfair dismissal,9239,3
appeal against HR,discrimination,9241,6
Workplace harassment,appeal against HR,9243,8
Murder,Workplace harassment,9245,5
robbery,Murder,9247,7
dowry demands,theft,9249,3
robbery,cybercrime,9251,10
unfair dismissal,sedition,9253,8
theft,Property dispute,9255,11
cybercrime,marriage affairs,9257,12
sedition,Divorce,9259,10
Property dispute,Fraud,9261,7
Fraud,riots,9263,15
riots,claims of negligence,9265,10
marriage affairs,dowry demands,9267,3
Divorce,robbery,9269,11
claims of negligence,unfair dismissal,9271,7
appeal against HR,discrimination,9273,7
Workplace harassment,appeal against HR,9275,13
Murder,Workplace harassment,9277,13
robbery,Murder,9279,7
dowry demands,theft,9281,7
robbery,cybercrime,9283,5
unfair dismissal,sedition,9285,6
theft,Property dispute,9287,14
cybercrime,marriage affairs,9289,14
sedition,Divorce,9291,3
Property dispute,Fraud,9293,13
Fraud,riots,9295,5
riots,claims of negligence,9297,7
marriage affairs,dowry demands,9299,4
Divorce,robbery,9301,10
claims of negligence,unfair dismissal,9303,8
appeal against HR,discrimination,9305,5
Workplace harassment,appeal against HR,9307,11
Murder,Workplace harassment,9309,12
robbery,Murder,9311,15
dowry demands,theft,9313,4
robbery,cybercrime,9315,9
unfair dismissal,sedition,9317,5
theft,Property dispute,9319,9
cybercrime,marriage affairs,9321,12
sedition,Divorce,9323,11
Property dispute,Fraud,9325,4
Fraud,riots,9327,8
riots,claims of negligence,9329,5
marriage affairs,dowry demands,9331,5
Divorce,robbery,9333,13
claims of negligence,unfair dismissal,9335,13
appeal against HR,discrimination,9337,5
Workplace harassment,appeal against HR,9339,7
Murder,Workplace harassment,9341,9
robbery,Murder,9343,12
dowry demands,theft,9345,5
robbery,cybercrime,9347,12
unfair dismissal,sedition,9349,3
theft,Property dispute,9351,10
cybercrime,marriage affairs,9353,8
sedition,Divorce,9355,9
Property dispute,Fraud,9357,9
Fraud,riots,9359,11
riots,claims of negligence,9361,5
marriage affairs,dowry demands,9363,4
Divorce,robbery,9365,7
claims of negligence,unfair dismissal,9367,3
appeal against HR,discrimination,9369,8
Workplace harassment,appeal against HR,9371,14
Murder,Workplace harassment,9373,7
robbery,Murder,9375,15
dowry demands,theft,9377,11
robbery,cybercrime,9379,11
unfair dismissal,sedition,9381,8
theft,Property dispute,9383,14
cybercrime,marriage affairs,9385,15
sedition,Divorce,9387,13
Property dispute,Fraud,9389,10
Fraud,riots,9391,10
riots,claims of negligence,9393,11
marriage affairs,dowry demands,9395,5
Divorce,robbery,9397,6
claims of negligence,unfair dismissal,9399,11
appeal against HR,discrimination,9401,3
Workplace harassment,appeal against HR,9403,9
Murder,Workplace harassment,9405,7
robbery,Murder,9407,7
dowry demands,theft,9409,15
robbery,cybercrime,9411,14
unfair dismissal,sedition,9413,8
theft,Property dispute,9415,15
cybercrime,marriage affairs,9417,10
sedition,Divorce,9419,11
Property dispute,Fraud,9421,7
Fraud,riots,9423,5
riots,claims of negligence,9425,5
marriage affairs,dowry demands,9427,6
Divorce,robbery,9429,11
claims of negligence,unfair dismissal,9431,13
appeal against HR,discrimination,9433,3
Workplace harassment,appeal against HR,9435,11
Murder,Workplace harassment,9437,13
robbery,Murder,9439,14
dowry demands,theft,9441,4
robbery,cybercrime,9443,6
unfair dismissal,sedition,9445,3
theft,Property dispute,9447,13
cybercrime,marriage affairs,9449,14
sedition,Divorce,9451,8
Property dispute,Fraud,9453,8
Fraud,riots,9455,8
riots,claims of negligence,9457,11
marriage affairs,dowry demands,9459,15
Divorce,robbery,9461,9
claims of negligence,unfair dismissal,9463,3
appeal against HR,discrimination,9465,8
Workplace harassment,appeal against HR,9467,3
Murder,Workplace harassment,9469,4
robbery,Murder,9471,5
dowry demands,theft,9473,7
robbery,cybercrime,9475,8
unfair dismissal,sedition,9477,7
theft,Property dispute,9479,3
cybercrime,marriage affairs,9481,7
sedition,Divorce,9483,12
Property dispute,Fraud,9485,15
Fraud,riots,9487,4
riots,claims of negligence,9489,13
marriage affairs,dowry demands,9491,5
Divorce,robbery,9493,11
claims of negligence,unfair dismissal,9495,5
appeal against HR,discrimination,9497,7
Workplace harassment,appeal against HR,9499,11
Murder,Workplace harassment,9501,13
robbery,Murder,9503,11
dowry demands,theft,9505,15
robbery,cybercrime,9507,7
unfair dismissal,sedition,9509,4
theft,Property dispute,9511,9
cybercrime,marriage affairs,9513,9
sedition,Divorce,9515,3
Property dispute,Fraud,9517,4
Fraud,riots,9519,5
riots,claims of negligence,9521,11
marriage affairs,dowry demands,9523,15
Divorce,robbery,9525,10
claims of negligence,unfair dismissal,9527,7
appeal against HR,discrimination,9529,9
Workplace harassment,appeal against HR,9531,15
Murder,Workplace harassment,9533,14
robbery,Murder,9535,4
dowry demands,theft,9537,12
robbery,cybercrime,9539,12
unfair dismissal,sedition,9541,14
theft,Property dispute,9543,8
cybercrime,marriage affairs,9545,3
sedition,Divorce,9547,5
Property dispute,Fraud,9549,3
Fraud,riots,9551,7
riots,claims of negligence,9553,5
marriage affairs,dowry demands,9555,8
Divorce,robbery,9557,7
claims of negligence,unfair dismissal,9559,14
appeal against HR,discrimination,9561,9
Workplace harassment,appeal against HR,9563,5
Murder,Workplace harassment,9565,15
robbery,Murder,9567,13
dowry demands,theft,9569,7
robbery,cybercrime,9571,7
unfair dismissal,sedition,9573,5
theft,Property dispute,9575,14
cybercrime,marriage affairs,9577,14
sedition,Divorce,9579,13
Property dispute,Fraud,9581,4
Fraud,riots,9583,10
riots,claims of negligence,9585,10
marriage affairs,dowry demands,9587,3
Divorce,robbery,9589,12
claims of negligence,unfair dismissal,9591,4
appeal against HR,discrimination,9593,10
Workplace harassment,appeal against HR,9595,5
Murder,Workplace harassment,9597,3
robbery,Murder,9599,13
dowry demands,theft,9601,7
robbery,cybercrime,9603,5
unfair dismissal,sedition,9605,13
theft,Property dispute,9607,15
cybercrime,marriage affairs,9609,4
sedition,Divorce,9611,7
Property dispute,Fraud,9613,8
Fraud,riots,9615,13
riots,claims of negligence,9617,13
marriage affairs,dowry demands,9619,14
Divorce,robbery,9621,4
claims of negligence,unfair dismissal,9623,9
appeal against HR,discrimination,9625,6
Workplace harassment,appeal against HR,9627,3
Murder,Workplace harassment,9629,10
robbery,Murder,9631,13
dowry demands,theft,9633,12
robbery,cybercrime,9635,10
unfair dismissal,sedition,9637,12
theft,Property dispute,9639,15
cybercrime,marriage affairs,9641,5
sedition,Divorce,9643,4
Property dispute,Fraud,9645,10
Fraud,riots,9647,14
riots,claims of negligence,9649,4
marriage affairs,dowry demands,9651,10
Divorce,robbery,9653,3
claims of negligence,unfair dismissal,9655,5
appeal against HR,discrimination,9657,9
Workplace harassment,appeal against HR,9659,15
Murder,Workplace harassment,9661,10
robbery,Murder,9663,3
dowry demands,theft,9665,6
robbery,cybercrime,9667,10
unfair dismissal,sedition,9669,7
theft,Property dispute,9671,11
cybercrime,marriage affairs,9673,7
sedition,Divorce,9675,10
Property dispute,Fraud,9677,3
Fraud,riots,9679,3
riots,claims of negligence,9681,8
marriage affairs,dowry demands,9683,6
Divorce,robbery,9685,15
claims of negligence,unfair dismissal,9687,8
appeal against HR,discrimination,9689,6
Workplace harassment,appeal against HR,9691,14
Murder,Workplace harassment,9693,7
robbery,Murder,9695,15
dowry demands,theft,9697,9
robbery,cybercrime,9699,10
unfair dismissal,sedition,9701,8
theft,Property dispute,9703,4
cybercrime,marriage affairs,9705,4
sedition,Divorce,9707,10
Property dispute,Fraud,9709,5
Fraud,riots,9711,14
riots,claims of negligence,9713,5
marriage affairs,dowry demands,9715,5
Divorce,robbery,9717,12
claims of negligence,unfair dismissal,9719,15
appeal against HR,discrimination,9721,10
Workplace harassment,appeal against HR,9723,10
Murder,Workplace harassment,9725,6
robbery,Murder,9727,14
dowry demands,theft,9729,13
robbery,cybercrime,9731,5
unfair dismissal,sedition,9733,3
theft,Property dispute,9735,15
cybercrime,marriage affairs,9737,9
sedition,Divorce,9739,15
Property dispute,Fraud,9741,6
Fraud,riots,9743,8
riots,claims of negligence,9745,3
marriage affairs,dowry demands,9747,9
Divorce,robbery,9749,14
claims of negligence,unfair dismissal,9751,12
appeal against HR,discrimination,9753,8
Workplace harassment,appeal against HR,9755,15
Murder,Workplace harassment,9757,8
robbery,Murder,9759,14
dowry demands,theft,9761,14
robbery,cybercrime,9763,7
unfair dismissal,sedition,9765,14
theft,Property dispute,9767,6
cybercrime,marriage affairs,9769,7
sedition,Divorce,9771,11
Property dispute,Fraud,9773,5
Fraud,riots,9775,10
riots,claims of negligence,9777,7
marriage affairs,dowry demands,9779,12
Divorce,robbery,9781,10
claims of negligence,unfair dismissal,9783,11
appeal against HR,discrimination,9785,8
Workplace harassment,appeal against HR,9787,10
Murder,Workplace harassment,9789,4
robbery,Murder,9791,14
dowry demands,theft,9793,10
robbery,cybercrime,9795,7
unfair dismissal,sedition,9797,5
theft,Property dispute,9799,10
cybercrime,marriage affairs,9801,10
sedition,Divorce,9803,13
Property dispute,Fraud,9805,7
Fraud,riots,9807,5
riots,claims of negligence,9809,6
marriage affairs,dowry demands,9811,12
Divorce,robbery,9813,6
claims of negligence,unfair dismissal,9815,15
appeal against HR,discrimination,9817,13
Workplace harassment,appeal against HR,9819,6
Murder,Workplace harassment,9821,3
robbery,Murder,9823,6
dowry demands,theft,9825,10
robbery,cybercrime,9827,5
unfair dismissal,sedition,9829,14
theft,Property dispute,9831,10
cybercrime,marriage affairs,9833,15
sedition,Divorce,9835,6
Property dispute,Fraud,9837,5
Fraud,riots,9839,9
riots,claims of negligence,9841,4
marriage affairs,dowry demands,9843,5
Divorce,robbery,9845,4
claims of negligence,unfair dismissal,9847,14
appeal against HR,discrimination,9849,14
Workplace harassment,appeal against HR,9851,5
Murder,Workplace harassment,9853,5
robbery,Murder,9855,12
dowry demands,theft,9857,3
robbery,cybercrime,9859,15
unfair dismissal,sedition,9861,8
theft,Property dispute,9863,4
cybercrime,marriage affairs,9865,6
sedition,Divorce,9867,5
Property dispute,Fraud,9869,4
Fraud,riots,9871,7
riots,claims of negligence,9873,10
marriage affairs,dowry demands,9875,7
Divorce,robbery,9877,12
claims of negligence,unfair dismissal,9879,7
appeal against HR,discrimination,9881,15
Workplace harassment,appeal against HR,9883,11
Murder,Workplace harassment,9885,12
robbery,Murder,9887,13
dowry demands,theft,9889,14
robbery,cybercrime,9891,10
unfair dismissal,sedition,9893,8
theft,Property dispute,9895,7
cybercrime,marriage affairs,9897,3
sedition,Divorce,9899,10
Property dispute,Fraud,9901,6
Fraud,riots,9903,3
riots,claims of negligence,9905,5
marriage affairs,dowry demands,9907,5
Divorce,robbery,9909,13
claims of negligence,unfair dismissal,9911,7
appeal against HR,discrimination,9913,9
Workplace harassment,appeal against HR,9915,13
Murder,Workplace harassment,9917,13
robbery,Murder,9919,4
dowry demands,theft,9921,4
robbery,cybercrime,9923,4
unfair dismissal,sedition,9925,7
theft,Property dispute,9927,10
cybercrime,marriage affairs,9929,11
sedition,Divorce,9931,5
Property dispute,Fraud,9933,4
Fraud,riots,9935,8
riots,claims of negligence,9937,12
marriage affairs,dowry demands,9939,11
Divorce,robbery,9941,5
claims of negligence,unfair dismissal,9943,11
appeal against HR,discrimination,9945,9
Workplace harassment,appeal against HR,9947,7
Murder,Workplace harassment,9949,13
robbery,Murder,9951,13
dowry demands,theft,9953,8
robbery,cybercrime,9955,14
unfair dismissal,sedition,9957,10
theft,Property dispute,9959,5
cybercrime,marriage affairs,9961,15
sedition,Divorce,9963,9
Property dispute,Fraud,9965,8
Fraud,riots,9967,7
riots,claims of negligence,9969,13
marriage affairs,dowry demands,9971,8
Divorce,robbery,9973,11
claims of negligence,unfair dismissal,9975,7
appeal against HR,discrimination,9977,4
Workplace harassment,appeal against HR,9979,5
Murder,Workplace harassment,9981,8
robbery,Murder,9983,10
dowry demands,theft,9985,3
robbery,cybercrime,9987,13
unfair dismissal,sedition,9989,14
theft,Property dispute,9991,14
cybercrime,marriage affairs,9993,12
sedition,Divorce,9995,12
Property dispute,Fraud,9997,7
Fraud,riots,9999,11
riots,claims of negligence,10001,15
marriage affairs,dowry demands,10003,13
Divorce,robbery,10005,7
claims of negligence,unfair dismissal,10007,9
appeal against HR,discrimination,10009,10
Workplace harassment,appeal against HR,10011,7
Murder,Workplace harassment,10013,3
robbery,Murder,10015,13
dowry demands,theft,10017,6
robbery,cybercrime,10019,3
unfair dismissal,sedition,10021,5
theft,Property dispute,10023,10
cybercrime,marriage affairs,10025,3
sedition,Divorce,10027,11
Property dispute,Fraud,10029,7
Fraud,riots,10031,7
riots,claims of negligence,10033,6
marriage affairs,dowry demands,10035,4
Divorce,robbery,10037,6
claims of negligence,unfair dismissal,10039,10
appeal against HR,discrimination,10041,6
Workplace harassment,appeal against HR,10043,3
Murder,Workplace harassment,10045,15
robbery,Murder,10047,5
dowry demands,theft,10049,12
robbery,cybercrime,10051,8
unfair dismissal,sedition,10053,5
theft,Property dispute,10055,14
cybercrime,marriage affairs,10057,14
sedition,Divorce,10059,12
Property dispute,Fraud,10061,12
Fraud,riots,10063,3
riots,claims of negligence,10065,11
marriage affairs,dowry demands,10067,9
Divorce,robbery,10069,5
claims of negligence,unfair dismissal,10071,10
appeal against HR,discrimination,10073,12
Workplace harassment,appeal against HR,10075,4
Murder,Workplace harassment,10077,7
robbery,Murder,10079,9
dowry demands,theft,10081,4
robbery,cybercrime,10083,6
unfair dismissal,sedition,10085,5
theft,Property dispute,10087,8
cybercrime,marriage affairs,10089,4
sedition,Divorce,10091,4
Property dispute,Fraud,10093,8
Fraud,riots,10095,5
riots,claims of negligence,10097,6
marriage affairs,dowry demands,10099,14
Divorce,robbery,10101,12
claims of negligence,unfair dismissal,10103,5
appeal against HR,discrimination,10105,8
Workplace harassment,appeal against HR,10107,3
Murder,Workplace harassment,10109,13
robbery,Murder,10111,7
dowry demands,theft,10113,8
robbery,cybercrime,10115,14
unfair dismissal,sedition,10117,8
theft,Property dispute,10119,7
cybercrime,marriage affairs,10121,3
sedition,Divorce,10123,8
Property dispute,Fraud,10125,8
Fraud,riots,10127,9
riots,claims of negligence,10129,5
marriage affairs,dowry demands,10131,5
Divorce,robbery,10133,13
claims of negligence,unfair dismissal,10135,11
appeal against HR,discrimination,10137,13
Workplace harassment,appeal against HR,10139,4
Murder,Workplace harassment,10141,4
robbery,Murder,10143,9
dowry demands,theft,10145,4
robbery,cybercrime,10147,3
unfair dismissal,sedition,10149,12
theft,Property dispute,10151,12
cybercrime,marriage affairs,10153,7
sedition,Divorce,10155,7
Property dispute,Fraud,10157,11
Fraud,riots,10159,10
riots,claims of negligence,10161,9
marriage affairs,dowry demands,10163,15
Divorce,robbery,10165,3
claims of negligence,unfair dismissal,10167,4
appeal against HR,discrimination,10169,5
Workplace harassment,appeal against HR,10171,5
Murder,Workplace harassment,10173,13
robbery,Murder,10175,10
dowry demands,theft,10177,12
robbery,cybercrime,10179,9
unfair dismissal,sedition,10181,13
theft,Property dispute,10183,7
cybercrime,marriage affairs,10185,11
sedition,Divorce,10187,7
Property dispute,Fraud,10189,4
Fraud,riots,10191,3
riots,claims of negligence,10193,14
marriage affairs,dowry demands,10195,14
Divorce,robbery,10197,8
claims of negligence,unfair dismissal,10199,11
appeal against HR,discrimination,10201,10
Workplace harassment,appeal against HR,10203,3
Murder,Workplace harassment,10205,13
robbery,Murder,10207,3
dowry demands,theft,10209,14
robbery,cybercrime,10211,10
unfair dismissal,sedition,10213,14
theft,Property dispute,10215,14
cybercrime,marriage affairs,10217,7
sedition,Divorce,10219,7
Property dispute,Fraud,10221,12
Fraud,riots,10223,3
riots,claims of negligence,10225,5
marriage affairs,dowry demands,10227,8
Divorce,robbery,10229,3
claims of negligence,unfair dismissal,10231,4
appeal against HR,discrimination,10233,7
Workplace harassment,appeal against HR,10235,14
Murder,Workplace harassment,10237,5
robbery,Murder,10239,12
dowry demands,theft,10241,15
robbery,cybercrime,10243,12
unfair dismissal,sedition,10245,9
theft,Property dispute,10247,4
cybercrime,marriage affairs,10249,11
sedition,Divorce,10251,8
Property dispute,Fraud,10253,9
Fraud,riots,10255,5
riots,claims of negligence,10257,6
marriage affairs,dowry demands,10259,10
Divorce,robbery,10261,6
claims of negligence,unfair dismissal,10263,11
appeal against HR,discrimination,10265,8
Workplace harassment,appeal against HR,10267,6
Murder,Workplace harassment,10269,8
robbery,Murder,10271,9
dowry demands,theft,10273,7
robbery,cybercrime,10275,8
unfair dismissal,sedition,10277,4
theft,Property dispute,10279,11
cybercrime,marriage affairs,10281,7
sedition,Divorce,10283,7
Property dispute,Fraud,10285,6
Fraud,riots,10287,5
riots,claims of negligence,10289,14
marriage affairs,dowry demands,10291,6
Divorce,robbery,10293,6
claims of negligence,unfair dismissal,10295,8
appeal against HR,discrimination,10297,15
Workplace harassment,appeal against HR,10299,8
Murder,Workplace harassment,10301,13
robbery,Murder,10303,11
dowry demands,theft,10305,3
robbery,cybercrime,10307,11
unfair dismissal,sedition,10309,7
theft,Property dispute,10311,15
cybercrime,marriage affairs,10313,6
sedition,Divorce,10315,15
Property dispute,Fraud,10317,6
Fraud,riots,10319,9
riots,claims of negligence,10321,12
marriage affairs,dowry demands,10323,4
Divorce,robbery,10325,10
claims of negligence,unfair dismissal,10327,4
appeal against HR,discrimination,10329,12
Workplace harassment,appeal against HR,10331,15
Murder,Workplace harassment,10333,8
robbery,Murder,10335,11
dowry demands,theft,10337,10
robbery,cybercrime,10339,3
unfair dismissal,sedition,10341,15
theft,Property dispute,10343,6
cybercrime,marriage affairs,10345,4
sedition,Divorce,10347,12
Property dispute,Fraud,10349,8
Fraud,riots,10351,6
riots,claims of negligence,10353,5
marriage affairs,dowry demands,10355,4
Divorce,robbery,10357,13
claims of negligence,unfair dismissal,10359,9
appeal against HR,discrimination,10361,13
Workplace harassment,appeal against HR,10363,10
Murder,Workplace harassment,10365,4
robbery,Murder,10367,8
dowry demands,theft,10369,11
robbery,cybercrime,10371,13
